city	city_name	city_state	polX	polY	eff
PAR	Paris	FRA	298,1074	349,3091	4333
LON	London	GBR	294,8438	354,1001	4083
NYC	New York	USA	207,8164	400,0103	3945
TYO	Tokyo	JPN	359,6274	501,1836	2173
BGW	Baghdad	IRQ	367,9302	350,5059	1854
ROM	Roma	ITA	314,1343	338,564	1736
BER1	Berlin	DEU	311,0088	357,8618	1599
MOW	Moskva	RUS	333,5034	375,0342	1464
MAD	Madrid	ESP	289,1113	333,9502	1314
BJS	Beijing	CHN	377,5596	465,9976	1170
BCN	Barcelona	ESP	298,3872	335,605	1149
SYD	Sydney	AUS	404,3501	623,9653	1058
KBL	Kabul	AFG	390,3623	388,7212	962
LAX	Los Angeles	USA	204,3525	473,6973	791
AMS	Amsterdam	NLD	300,9082	355,957	711
WAS	Washington	USA	203,3672	403,9063	693
CAI	Cairo	EGY	352,1694	330,7861	653
MIL	Milano	ITA	308,0908	344,0688	596
MEX	Mexico	MEX	166,9844	445,5679	567
VCE	Venice	ITA	312,5308	344,8584	559
ATH	Athens	GRC	333,4951	337,375	545
THR	Tehran	IRN	373,0918	362,7114	532
IEV	Kiev	UKR	332,002	362,2515	497
RIO	Rio de Janeiro	BRA	153,292	274,147	474
VIE	Wien	AUT	316,6895	351,1768	451
DXB	Dubai	ARE	392,8218	357,2842	448
BUE1	Buenos Aeres	ARG	100,5283	305,2349	446
SEL	Seoul	KOR	372,062	483,0239	420
SIN	Singapore	SGP	453,0508	463,9673	410
JER	Jerusalem	ISR	356,7095	337,5234	396
TOR	Toronto	CAN	211,1855	409,2944	393
PRG	Praha	CZE	313,3027	353,8213	383
ICD	New Delhi	IND	405,0254	400,0532	371
IST	Istanbul	TUR	338,6714	346,1367	367
BRU1	Brussels	BEL	300,4746	353,1069	359
ISB	Islamabad	PAK	394,0225	394,8398	359
HKG	Hong Kong	HKG	408,3672	475,7593	351
TLV	Tel Aviv	ISR	355,7524	337,4565	343
JNB	Johannesburg	ZAF	395,1489	237,0078	336
MIA	Miami	USA	178,6724	404,8936	309
STO	Stockholm	SWE	312,521	371,2822	309
OSL	Oslo	NOR	305,3291	370,5366	306
MTR	Montreal	CAN	216,481	401,9487	297
LIS	Lisboa	PRT	280,0161	331,8232	295
SFO	San Francisco	USA	213,8926	476,5107	290
MUC	Munich	DEU	310,4712	349,4966	288
BUH	Bucuresti	ROU	331,9316	349,6895	279
CHI	Chicago	USA	206,4629	421,3667	266
LOS	Lagos	NGA	304,1445	271,895	264
LAS	Las Vegas	USA	205,2896	467,1626	262
DUB	Dublin	IRL	287,6299	357,8911	252
BOM	Mumbai	IND	419,6118	386,5601	249
GVA	Geneva	CHE	303,6235	344,8379	244
NDJ	N Djamena	TCD	332,1274	286,8672	229
MEL	Melbourne	AUS	429,4922	616,8125	227
HEL	Helsinki	FIN	318,1748	375,1616	214
QUE2	Quebec	CAN	219,728	399,3975	213
YVR	Vancouver	CAN	232,1924	466,0039	213
TBS	Tbilisi	GEO	357,6123	361,9336	209
CPH	Copenhagen	DNK	308,7578	363,2891	203
ZRH	Zurich	CHE	306,6523	347,3838	201
MRS	Marseille	FRA	303,061	339,4219	197
BKK	Bangkok	THA	432,6772	450,5288	194
SOF	Sofia	BGR	329,4663	345,0557	192
BUD	Budapest	HUN	320,5278	351,0327	190
FNJ	Pyongyang	PRK	371,1045	479,7949	190
SAO	Sao Paulo	BRA	143,6646	282,083	174
BOG	Bogota	COL	144,2939	381,9907	173
ALG	Algiers	DZA	300,1982	327,1831	171
CCS	Caracas	VEN	160,7319	367,7251	169
CPT	Cape Town	ZAF	366,7837	209,5034	168
LAD	Luanda	AGO	336,499	248,5859	163
FLR	Florence	ITA	311,6108	341,5444	160
EVN	Yerevan	ARM	359,2817	359,585	158
SHA	Shanghai	CHN	387,1699	481,4219	158
